Date,Ticker,Yfinance_Ticker,Trade,Shares
15/01/19,VTI,VTI,Buy,2
15/01/19,VXUS,VXUS,Buy,4
15/01/19,BND,BND,Buy,3
15/01/19,BNDX,BNDX,Buy,2
15/02/19,VTI,VTI,Buy,2
15/02/19,VXUS,VXUS,Buy,5
15/02/19,BND,BND,Buy,4
15/02/19,BNDX,BNDX,Buy,2
15/03/19,VTI,VTI,Buy,2
15/03/19,VXUS,VXUS,Buy,5
15/03/19,BND,BND,Buy,4
15/03/19,BNDX,BNDX,Buy,2
15/04/19,VTI,VTI,Buy,2
15/04/19,VXUS,VXUS,Buy,5
15/04/19,BND,BND,Buy,4
15/04/19,BNDX,BNDX,Buy,2
15/05/19,VTI,VTI,Buy,2
15/05/19,VXUS,VXUS,Buy,5
15/05/19,BND,BND,Buy,4
15/05/19,BNDX,BNDX,Buy,2
15/06/19,VTI,VTI,Buy,2
15/06/19,VXUS,VXUS,Buy,5
15/06/19,BND,BND,Buy,4
15/06/19,BNDX,BNDX,Buy,2
15/07/19,VTI,VTI,Buy,2
15/07/19,VXUS,VXUS,Buy,5
15/07/19,BND,BND,Buy,4
15/07/19,BNDX,BNDX,Buy,2
15/08/19,VTI,VTI,Buy,3
15/08/19,VXUS,VXUS,Buy,5
15/08/19,BND,BND,Buy,4
15/08/19,BNDX,BNDX,Buy,2
15/09/19,VTI,VTI,Buy,2
15/09/19,VXUS,VXUS,Buy,4
15/09/19,BND,BND,Buy,3
15/09/19,BNDX,BNDX,Buy,2
15/10/19,VTI,VTI,Buy,2
15/10/19,VXUS,VXUS,Buy,5
15/10/19,BND,BND,Buy,3
15/10/19,BNDX,BNDX,Buy,2
15/11/19,VTI,VTI,Buy,2
15/11/19,VXUS,VXUS,Buy,5
15/11/19,BND,BND,Buy,4
15/11/19,BNDX,BNDX,Buy,2
15/12/19,VTI,VTI,Buy,2
15/12/19,VXUS,VXUS,Buy,5
15/12/19,BND,BND,Buy,4
15/12/19,BNDX,BNDX,Buy,2
15/01/20,VTI,VTI,Buy,2
15/01/20,VXUS,VXUS,Buy,4
15/01/20,BND,BND,Buy,3
15/01/20,BNDX,BNDX,Buy,2
15/02/20,VTI,VTI,Buy,2
15/02/20,VXUS,VXUS,Buy,5
15/02/20,BND,BND,Buy,4
15/02/20,BNDX,BNDX,Buy,2
15/03/20,VTI,VTI,Buy,3
15/03/20,VXUS,VXUS,Buy,6
15/03/20,BND,BND,Buy,3
15/03/20,BNDX,BNDX,Buy,2
15/04/20,VTI,VTI,Buy,2
15/04/20,VXUS,VXUS,Buy,6
15/04/20,BND,BND,Buy,3
15/04/20,BNDX,BNDX,Buy,2
15/05/20,VTI,VTI,Buy,3
15/05/20,VXUS,VXUS,Buy,6
15/05/20,BND,BND,Buy,3
15/05/20,BNDX,BNDX,Buy,2
15/06/20,VTI,VTI,Buy,2
15/06/20,VXUS,VXUS,Buy,5
15/06/20,BND,BND,Buy,3
15/06/20,BNDX,BNDX,Buy,2
15/07/20,VTI,VTI,Buy,2
15/07/20,VXUS,VXUS,Buy,5
15/07/20,BND,BND,Buy,3
15/07/20,BNDX,BNDX,Buy,2
15/08/20,VTI,VTI,Buy,2
15/08/20,VXUS,VXUS,Buy,5
15/08/20,BND,BND,Buy,3
15/08/20,BNDX,BNDX,Buy,2
15/09/20,VTI,VTI,Buy,2
15/09/20,VXUS,VXUS,Buy,5
15/09/20,BND,BND,Buy,3
15/09/20,BNDX,BNDX,Buy,2
15/10/20,VTI,VTI,Buy,2
15/10/20,VXUS,VXUS,Buy,5
15/10/20,BND,BND,Buy,3
15/10/20,BNDX,BNDX,Buy,2
15/11/20,VTI,VTI,Buy,2
15/11/20,VXUS,VXUS,Buy,5
15/11/20,BND,BND,Buy,3
15/11/20,BNDX,BNDX,Buy,2
15/12/20,VTI,VTI,Buy,2
15/12/20,VXUS,VXUS,Buy,4
15/12/20,BND,BND,Buy,3
15/12/20,BNDX,BNDX,Buy,2
15/01/21,VTI,VTI,Buy,2
15/01/21,VXUS,VXUS,Buy,4
15/01/21,BND,BND,Buy,3
