Date,Contributions_Account2_USD
15/01/19,2000
15/02/19,2000
15/03/19,2000
15/04/19,2000
15/05/19,2000
15/06/19,2000
15/07/19,2000
15/08/19,2000
15/09/19,2000
15/10/19,2000
15/11/19,2000
15/12/19,2000
15/01/20,2000
15/02/20,2000
15/03/20,2000
15/04/20,2000
15/05/20,2000
15/06/20,2000
15/07/20,2000
15/08/20,2000
15/09/20,2000
15/10/20,2000
15/11/20,2000
15/12/20,2000
15/01/21,2000
15/02/21,2000
15/03/21,2000
15/04/21,2000
15/05/21,2000
15/06/21,2000
15/07/21,2000
15/08/21,2000
15/09/21,2000
15/10/21,2000
15/11/21,2000
15/12/21,2000
15/01/22,2000
15/02/22,2000
15/03/22,2000
15/04/22,2000
15/05/22,2000
15/06/22,2000
15/07/22,2000
15/08/22,2000
15/09/22,2000
